"Statecode","Statename","Countyname","Countycode","TotalPop","taxdividend_PredPop","taxdividend","taxdividendOppose_PredPop","taxdividendOppose","CO2limits_PredPop","CO2limits","CO2limitsOppose_PredPop","CO2limitsOppose","regulate_PredPop","regulate","regulateOppose_PredPop","regulateOppose","supportRPS_PredPop","supportRPS","supportRPSOppose_PredPop","supportRPSOppose","fundrenewables_PredPop","fundrenewables","fundrenewablesOppose_PredPop","fundrenewablesOppose","happening_PredPop","happening","happeningOppose_PredPop","happeningOppose","human_PredPop","human","humanOppose_PredPop","humanOppose","consensus_PredPop","consensus","consensusOppose_PredPop","consensusOppose","worried_PredPop","worried","worriedOppose_PredPop","worriedOppose","personal_PredPop","personal","personalOppose_PredPop","personalOppose","harmUS_PredPop","harmUS","harmUSOppose_PredPop","harmUSOppose","devharm_PredPop","devharm","devharmOppose_PredPop","devharmOppose","futuregen_PredPop","futuregen","futuregenOppose_PredPop","futuregenOppose","timing_PredPop","timing","timingOppose_PredPop","timingOppose"
"AL","Alabama","Chilton County, Alabama",1021,28945,12014,42,6596,23,15405,53,13421,46,19692,68,9118,32,15411,53,13313,46,20791,72,7967,28,15218,53,7269,25,11799,41,11438,40,8812,30,11154,39,12674,44,16274,56,8563,30,16062,55,12711,44,12302,42,12662,44,11710,40,14936,52,9843,34,10697,37,18031,62
"AL","Alabama","Choctaw County, Alabama",1023,9625,3961,41,2035,21,5433,56,4105,43,6853,71,2620,27,5395,56,4070,42,6961,72,2524,26,5543,58,1690,18,4231,44,3713,39,3125,32,3130,33,4606,48,5017,52,3277,34,4538,47,4587,48,3334,35,4517,47,3104,32,5163,54,2533,26,4083,42,5460,57
"AL","Alabama","Clarke County, Alabama",1025,17214,7183,42,3514,20,9045,53,8004,46,11911,69,5065,29,9211,54,7752,45,12202,71,4880,28,9233,54,3394,20,6945,40,7037,41,4990,29,6115,36,7535,44,9680,56,5497,32,8485,49,7763,45,6399,37,7570,44,6075,35,8812,51,4887,28,6776,39,10311,60
"AL","Alabama","Clay County, Alabama",1027,9673,3890,40,2297,24,5614,58,3992,41,6944,72,2637,27,5501,57,4032,42,7134,74,2415,25,5537,57,2024,21,4388,45,3613,37,3254,34,3447,36,4674,48,5001,52,3090,32,5088,53,4533,47,3747,39,4541,47,3449,36,5268,54,2797,29,3927,41,5682,59
"AL","Alabama","Cleburne County, Alabama",1029,10173,3860,38,2754,27,6256,61,3841,38,7549,74,2535,25,6110,60,3894,38,7699,76,2329,23,6006,59,2150,21,4976,49,3511,35,3727,37,3610,35,5201,51,4967,49,3293,32,5472,54,4942,49,3929,39,5018,49,3547,35,5749,57,2869,28,4242,42,5870,58
"AL","Alabama","Coffee County, Alabama",1031,33409,13258,40,8530,26,19132,57,13984,42,23688,71,9373,28,19265,58,13770,41,24683,74,8383,25,19286,58,7537,23,14628,44,12826,38,11105,33,12702,38,15536,47,17837,53,10668,32,18124,54,15686,47,13460,40,15907,48,12084,36,18294,55,10317,31,13236,40,20045,60
"AL","Alabama","Colbert County, Alabama",1033,37936,14281,38,9229,24,16697,44,21161,56,25553,67,12394,33,19756,52,17953,47,26465,70,11893,31,20059,53,9557,25,15465,41,15597,41,10771,28,14792,39,16354,43,21578,57,11253,30,20578,54,16303,43,16134,43,16170,43,15253,40,19903,52,12166,32,14160,37,23424,62
"AL","Alabama","Conecuh County, Alabama",1035,8930,3241,36,2197,25,5294,59,3469,39,6723,75,2040,23,5447,61,3251,36,6593,74,2222,25,5149,58,1567,18,4394,49,3102,35,3020,34,2848,32,4497,50,4408,49,3258,36,3991,45,4539,51,2822,32,4459,50,2633,29,4928,55,2114,24,3963,44,4897,55
"AL","Alabama","Coosa County, Alabama",1037,8153,3500,43,1615,20,4086,50,4023,49,5446,67,2642,32,4143,51,3941,48,5683,70,2426,30,4286,53,1771,22,3159,39,3508,43,2272,28,3000,37,3440,42,4722,58,2437,30,4247,52,3497,43,3274,40,3412,42,3130,38,4089,50,2558,31,3053,37,5032,62
"AL","Alabama","Covington County, Alabama",1039,26210,10109,39,6765,26,15137,58,10855,41,19071,73,6964,27,15175,58,10691,41,19528,75,6472,25,15318,58,5658,22,12249,47,9570,37,9097,35,9526,36,12982,50,13239,51,8361,32,14048,54,12369,47,10372,40,12461,48,9570,37,14336,55,7505,29,10566,40,15462,59
"AL","Alabama","Crenshaw County, Alabama",1041,9477,4049,43,1982,21,4992,53,4448,47,6442,68,2966,31,4965,52,4435,47,6757,71,2646,28,5166,55,2035,21,3842,41,3915,41,2860,30,3470,37,4190,44,5298,56,2872,30,5029,53,4166,44,3839,41,4124,44,3606,38,4907,52,2941,31,3631,38,5773,61
"AL","Alabama","Cullman County, Alabama",1043,54919,22671,41,13197,24,29102,53,25848,47,37420,68,17408,32,29395,54,25271,46,39717,72,14838,27,28878,53,14383,26,22332,41,22397,41,17065,31,22074,40,23643,43,31303,57,15481,28,32443,59,23618,43,25202,46,23728,43,24093,44,28489,52,19677,36,19559,36,35051,64
"AL","Alabama","Dale County, Alabama",1045,33025,13317,40,8039,24,18260,55,14513,44,23381,71,9345,28,18524,56,14168,43,24336,74,8499,26,18860,57,7351,22,14781,45,12510,38,10768,33,12546,38,15487,47,17553,53,10432,32,17902,54,15209,46,13528,41,15334,46,12613,38,17851,54,10195,31,12935,39,19951,60
"AL","Alabama","Dallas County, Alabama",1047,27909,11899,43,5236,19,16182,58,11445,41,19991,72,7270,26,15860,57,11497,41,20091,72,7168,26,16810,60,3599,13,12493,45,10333,37,9421,34,7900,28,13996,50,13895,50,10509,38,11413,41,14007,50,8218,29,13723,49,7537,27,15246,55,6183,22,12754,46,14768,53
"AL","Alabama","DeKalb County, Alabama",1049,46841,18606,40,11378,24,26098,56,20213,43,33236,71,13385,29,25933,55,20314,43,34283,73,12423,27,25966,55,11405,24,20925,45,17601,38,14696,31,17961,38,21572,46,25304,54,13993,30,26087,56,21030,45,19294,41,21017,45,18052,39,24974,53,14484,31,17988,38,28722,61
"AL","Alabama","Elmore County, Alabama",1051,53090,21835,41,12498,24,27598,52,25321,48,36402,69,16318,31,28646,54,24139,45,38322,72,14604,28,28645,54,12970,24,21954,41,21876,41,16183,30,21158,40,22939,43,30200,57,15602,29,29921,56,23139,44,22879,43,23261,44,21578,41,27829,52,17286,33,19453,37,33432,63
"AL","Alabama","Escambia County, Alabama",1053,26230,10945,42,5605,21,13905,53,12098,46,18002,69,7978,30,13925,53,12024,46,18697,71,7354,28,14248,54,5339,20,11061,42,10485,40,7996,30,9204,35,11921,45,14329,55,8308,32,13326,51,11825,45,10097,38,11705,45,9460,36,13576,52,8018,31,10387,40,15630,60
"AL","Alabama","Etowah County, Alabama",1055,71383,29401,41,16233,23,35869,50,35072,49,48501,68,22255,31,37324,52,33810,47,50623,71,20665,29,35603,50,19452,27,27196,38,30176,42,20018,28,29759,42,28798,40,42602,60,20079,28,41018,57,30021,42,31916,45,29770,42,30763,43,36280,51,24353,34,24804,35,46232,65
"AL","Alabama","Fayette County, Alabama",1057,12046,4978,41,2680,22,6132,51,5849,49,8147,68,3859,32,6253,52,5715,47,8551,71,3479,29,6229,52,3040,25,4764,40,5094,42,3386,28,4843,40,5029,42,7033,58,3364,28,6838,57,5062,42,5267,44,5003,42,5028,42,6108,51,4048,34,4287,36,7691,64
"AL","Alabama","Franklin County, Alabama",1059,21064,8653,41,4941,23,11570,55,9368,44,14724,70,6218,30,11481,55,9366,44,15311,73,5594,27,11451,54,4895,23,8998,43,8335,40,6621,31,8012,38,9670,46,11401,54,6392,30,11634,55,9468,45,8792,42,9470,45,8259,39,11150,53,6774,32,7990,38,12954,61
"AL","Alabama","Geneva County, Alabama",1061,18737,7858,42,4151,22,9733,52,8930,48,12730,68,5954,32,9741,52,8887,47,13398,72,5276,28,10019,53,4540,24,7681,41,7708,41,5465,29,7414,40,7994,43,10765,57,5328,28,10578,56,7978,43,8192,44,7943,42,7648,41,9547,51,6389,34,6843,37,11790,63
"AL","Alabama","Greene County, Alabama",1063,5966,2369,40,986,17,2187,37,3837,64,3755,63,2126,36,2887,48,3000,50,3722,62,2167,36,3295,55,676,11,2227,37,2478,42,1765,30,1365,23,2974,50,2967,50,2455,41,1955,33,2947,49,1585,27,2770,46,1535,26,3049,51,1418,24,2819,47,2930,49
"AL","Alabama","Hale County, Alabama",1065,10467,4371,42,2063,20,5952,57,4404,42,7480,71,2773,26,5876,56,4393,42,7486,72,2766,26,6193,59,1567,15,4546,43,4109,39,3409,33,3162,30,5125,49,5340,51,3759,36,4534,43,5113,49,3297,31,5006,48,3063,29,5659,54,2513,24,4610,44,5753,55
"AL","Alabama","Henry County, Alabama",1067,12081,4985,41,2615,22,6051,50,5931,49,8188,68,3796,31,6312,52,5670,47,8525,71,3548,29,6302,52,2851,24,4751,39,5139,43,3345,28,4723,39,5033,42,7058,58,3546,29,6519,54,5176,43,5017,42,5085,42,4814,40,6133,51,3850,32,4425,37,7592,63
"AL","Alabama","Houston County, Alabama",1069,68215,27912,41,15615,23,35147,52,32687,48,46405,68,21180,31,36569,54,31149,46,49151,72,19039,28,36589,54,16276,24,28128,41,28217,41,19825,29,26657,39,29367,43,38904,57,20310,30,37416,55,29823,44,28496,42,29700,44,27033,40,35517,52,21589,32,25200,37,42732,63
"AL","Alabama","Jackson County, Alabama",1071,37186,12951,35,9645,26,15265,41,21829,59,24553,66,12824,34,19179,52,17703,48,25200,68,12479,34,18244,49,10072,27,14429,39,15595,42,9907,27,14571,39,16201,44,20924,56,11017,30,20048,54,16017,43,15681,42,15639,42,15176,41,18950,51,12475,34,13235,36,23173,62
"AL","Alabama","Jefferson County, Alabama",1073,439531,177534,40,103369,24,239541,54,197808,45,306860,70,120082,27,250603,57,181576,41,313825,71,115619,26,247052,56,82715,19,188075,43,181221,41,150036,34,146922,33,204694,47,234298,53,151243,34,215076,49,211146,48,160755,37,211745,48,144393,33,237095,54,122398,28,186873,43,250814,57
"AL","Alabama","Lamar County, Alabama",1075,10226,4218,41,2270,22,5185,51,4984,49,6914,68,3281,32,5298,52,4862,48,7254,71,2962,29,5251,51,2614,26,4019,39,4350,43,2844,28,4146,41,4231,41,6008,59,2829,28,5835,57,4268,42,4502,44,4213,41,4306,42,5163,50,3460,34,3613,35,6557,64
"AL","Alabama","Lauderdale County, Alabama",1077,62668,24347,39,16550,26,35320,56,26798,43,44862,72,17330,28,35996,57,26047,42,46711,75,15790,25,35448,57,15019,24,28582,46,23506,38,20429,33,24968,40,28979,46,33730,54,18744,30,35593,57,28452,45,26450,42,28947,46,24439,39,34371,55,19165,31,23799,38,38718,62
"AL","Alabama","Lawrence County, Alabama",1079,23274,9117,39,5678,24,12626,54,10386,45,16315,70,6783,29,12858,55,10141,44,16813,72,6364,27,12490,54,5739,25,10031,43,9173,39,6906,30,9265,40,10293,44,12988,56,6920,30,12941,56,10398,45,9695,42,10354,44,9175,39,12291,53,7305,31,8689,37,14513,62
"AL","Alabama","Lee County, Alabama",1081,80386,33649,42,19180,24,43744,54,36095,45,55970,70,23807,30,44377,55,35580,44,58785,73,21199,26,46836,58,16919,21,34383,43,31839,40,26905,33,29718,37,37328,46,43180,54,25093,31,43729,54,36488,45,33208,41,37248,46,30091,37,44087,55,23869,30,31501,39,48547,60
"AL","Alabama","Limestone County, Alabama",1083,56813,23331,41,13399,24,28378,50,28236,50,37763,66,18868,33,29715,52,26930,47,40176,71,16537,29,27729,49,15405,27,23707,42,23036,41,16127,28,23627,42,23550,41,33332,59,15948,28,32739,58,23955,42,25438,45,23916,42,24377,43,28568,50,19983,35,19884,35,36713,65
"AL","Alabama","Lowndes County, Alabama",1085,7435,3208,43,1334,18,4127,56,3257,44,5239,70,2020,27,4121,55,3172,43,5282,71,1991,27,4497,60,881,12,3242,44,2869,39,2522,34,1974,27,3742,50,3686,50,2859,38,2905,39,3734,50,2122,29,3640,49,1954,26,4021,54,1648,22,3474,47,3856,52
"AL","Alabama","Macon County, Alabama",1087,12915,5955,46,2077,16,7232,56,5627,44,8904,69,3668,28,7017,54,5707,44,9173,71,3401,26,7961,62,1263,10,5418,42,5181,40,4603,36,3256,25,6558,51,6363,49,5040,39,4940,38,6482,50,3580,28,6376,49,3229,25,7078,55,2712,21,6107,47,6640,51
"AL","Alabama","Madison County, Alabama",1089,221377,89713,41,56793,26,122238,55,96385,44,157213,71,61778,28,124605,56,95409,43,164701,74,56659,26,125793,57,48341,22,100897,46,85501,39,74929,34,85641,39,100107,45,120424,54,68292,31,124034,56,100709,45,94578,43,102814,46,88320,40,119042,54,73499,33,83271,38,137589,62
"AL","Alabama","Marengo County, Alabama",1091,14144,6106,43,2685,19,7023,50,7012,50,9524,67,4430,31,7289,52,6732,48,9885,70,4190,30,7843,55,2549,18,5451,39,5947,42,4087,29,4787,34,6159,44,7986,56,4635,33,6713,47,6346,45,5152,36,6182,44,4881,35,7204,51,3956,28,5645,40,8357,59
"AL","Alabama","Marion County, Alabama",1093,21690,8797,41,5046,23,11445,53,10077,46,14806,68,6842,32,11454,53,10074,46,15605,72,6063,28,11305,52,5453,25,8882,41,8983,41,6346,29,8725,40,9179,42,12529,58,6016,28,12528,58,9188,42,9564,44,9098,42,9096,42,11122,51,7393,34,7768,36,13802,64
"AL","Alabama","Marshall County, Alabama",1095,61577,25738,42,14475,24,33426,54,27961,45,42457,69,18927,31,33173,54,27976,45,44802,73,16401,27,33505,54,15080,24,26683,43,23956,39,19555,32,23983,39,27904,45,33731,55,18125,29,35052,57,27160,44,26733,43,27360,44,24986,41,32530,53,20518,33,22910,37,38311,62
"AL","Alabama","Mobile County, Alabama",1097,267708,106574,40,62568,23,140906,53,126364,47,189913,71,75188,28,149056,56,116305,43,195507,73,71490,27,149058,56,55622,21,113248,42,110230,41,87577,33,94074,35,124148,46,143332,54,89071,33,134690,50,125925,47,100949,38,125928,47,93996,35,142548,53,80783,30,108893,41,156093,58
"AL","Alabama","Monroe County, Alabama",1099,15359,6277,41,3267,21,8568,56,6626,43,10922,71,4201,27,8572,56,6524,42,11078,72,4095,27,8692,57,2846,19,6698,44,5991,39,4807,31,5177,34,7197,47,8158,53,5140,33,7367,48,7239,47,5431,35,7112,46,5096,33,8173,53,4133,27,6378,42,8869,58
"AL","Alabama","Montgomery County, Alabama",1101,146368,61403,42,31842,22,80273,55,65290,45,100933,69,42673,29,81589,56,63244,43,105330,72,38757,26,87205,60,24349,17,62075,42,54448,37,49960,34,47905,33,69880,48,76535,52,50831,35,69280,47,70254,48,50080,34,70659,48,45143,31,80976,55,35215,24,63154,43,82702,57
"AL","Alabama","Morgan County, Alabama",1103,80903,32057,40,20370,25,44149,55,36100,45,57121,71,23193,29,45391,56,34691,43,59392,73,21237,26,45194,56,19231,24,34856,43,31879,39,25674,32,31567,39,37171,46,43768,54,24621,30,45017,56,36595,45,33833,42,36991,46,31442,39,43834,54,24915,31,30673,38,49921,62
"AL","Alabama","Perry County, Alabama",1105,6745,3043,45,1120,17,3565,53,3144,47,4580,68,2034,30,3502,52,3149,47,4695,70,1930,29,3862,57,945,14,2696,40,2821,42,2060,31,1973,29,3117,46,3632,54,2364,35,2863,42,3153,47,2151,32,3042,45,2024,30,3476,52,1694,25,2915,43,3745,56
"AL","Alabama","Pickens County, Alabama",1107,13390,5717,43,2616,20,6929,52,6361,48,9140,68,4085,31,7014,52,6220,46,9425,70,3855,29,7245,54,2661,20,5352,40,5632,42,3847,29,4735,35,5841,44,7558,56,4226,32,6640,50,5953,44,5057,38,5799,43,4816,36,6844,51,3910,29,5252,39,8032,60
"AL","Alabama","Pike County, Alabama",1109,19055,8194,43,3947,21,9620,50,9343,49,12772,67,6094,32,9882,52,9063,48,13461,71,5521,29,10375,54,3956,21,7513,39,8054,42,5628,30,6951,36,8210,43,10864,57,5867,31,9885,52,8356,44,7600,40,8267,43,7184,38,9812,51,5822,31,7299,38,11621,61
"AL","Alabama","Randolph County, Alabama",1111,15474,6475,42,3391,22,8345,54,7074,46,10645,69,4725,31,8270,53,7061,46,11110,72,4214,27,8535,55,3317,21,6467,42,6196,40,4853,31,5577,36,7055,46,8434,55,4733,31,8213,53,6910,45,6206,40,6865,44,5801,37,8122,52,4755,31,6014,39,9329,60
"AL","Alabama","Russell County, Alabama",1113,34948,14313,41,7727,22,20472,59,14048,40,25074,72,9256,26,20109,58,14247,41,25567,73,8757,25,20481,59,6011,17,15745,45,13229,38,11940,34,11356,32,17204,49,17719,51,12263,35,16502,47,17087,49,12011,34,17057,49,10971,31,19389,55,8831,25,15084,43,19628,56
"AL","Alabama","St. Clair County, Alabama",1115,57090,22693,40,14040,25,30102,53,26565,47,39591,69,17269,30,31072,54,25565,45,41288,72,15690,27,30560,54,14748,26,23626,41,22942,40,16829,29,23332,41,24566,43,32559,57,16264,28,32807,57,24666,43,25000,44,24785,43,23574,41,29985,53,18834,33,20637,36,36240,63
"AL","Alabama","Shelby County, Alabama",1117,130376,49805,38,36052,28,63309,49,67268,52,87760,67,42225,32,72254,55,57951,44,94516,72,36441,28,72227,55,32979,25,57033,44,50894,39,42489,33,52160,40,59841,46,70549,54,39642,30,74746,57,58482,45,57365,44,60190,46,53647,41,71414,55,43691,34,48637,37,80877,62
"AL","Alabama","Sumter County, Alabama",1119,8408,3636,43,1474,18,4725,56,3601,43,5993,71,2209,26,4700,56,3537,42,6004,71,2239,27,5113,61,971,12,3617,43,3328,40,2770,33,2274,27,4202,50,4203,50,3218,38,3256,39,4218,50,2348,28,4103,49,2175,26,4566,54,1808,22,3932,47,4381,52
"AL","Alabama","Talladega County, Alabama",1121,55822,23275,42,11906,21,29514,53,25870,46,38607,69,16689,30,29987,54,25203,45,39828,71,15600,28,30318,54,11480,21,22436,40,23157,41,16634,30,20423,37,24697,44,31178,56,17271,31,28917,52,24840,44,21607,39,24604,44,20146,36,29330,53,16008,29,21713,39,33786,61
"AL","Alabama","Tallapoosa County, Alabama",1123,29110,11844,41,6758,23,16475,57,12368,42,20823,72,8009,28,16390,56,12354,42,21469,74,7457,26,17208,59,5804,20,13720,47,10650,37,9698,33,10300,35,14073,48,15082,52,9352,32,14970,51,13525,46,11064,38,13580,47,10122,35,15914,55,8046,28,11810,41,17133,59
"AL","Alabama","Tuscaloosa County, Alabama",1125,114468,47402,41,26328,23,60347,53,53394,47,77566,68,35675,31,62265,54,51480,45,82488,72,31414,27,63433,55,25329,22,44082,39,49642,43,34876,30,43116,38,49265,43,65127,57,35508,31,61330,54,51345,45,47426,41,51299,45,44881,39,59209,52,37357,33,44109,39,69856,61
"AL","Alabama","Walker County, Alabama",1127,46419,17447,38,11472,25,21660,47,24796,53,31233,67,15180,33,24414,53,21648,47,32297,70,14075,30,23405,50,12422,27,18526,40,18613,40,13204,28,18233,39,20228,44,26148,56,13610,29,25619,55,20126,43,19819,43,19822,43,18925,41,23739,51,15429,33,16901,36,28966,62
"AL","Alabama","Washington County, Alabama",1129,11561,4222,37,2566,22,4203,36,7423,64,7318,63,4273,37,5603,48,5873,51,7435,64,4215,36,5679,49,2714,23,4309,37,4882,42,3009,26,3984,34,5117,44,6409,55,3801,33,5519,48,5135,44,4468,39,4915,43,4387,38,5777,50,3793,33,4472,39,6801,59
"AL","Alabama","Wilcox County, Alabama",1131,7602,2860,38,1375,18,2748,36,4902,64,4841,64,2672,35,3724,49,3766,50,4717,62,2818,37,4018,53,1039,14,2868,38,3175,42,2130,28,1903,25,3720,49,3853,51,3000,39,2652,35,3683,48,2132,28,3451,45,2088,27,3887,51,1871,25,3486,46,3863,51
"AL","Alabama","Winston County, Alabama",1133,17196,7151,42,3888,23,8576,50,8566,50,11410,66,5811,34,8705,51,8438,49,12150,71,5053,29,8672,50,4682,27,6600,38,7392,43,4752,28,7180,42,6994,41,10235,60,4516,26,10233,60,6967,41,7965,46,6909,40,7623,44,8608,50,6165,36,5825,34,11274,66
"AK","Alaska","Aleutians East Borough, Alaska",2013,2429,918,38,696,29,1302,54,1141,47,1664,69,774,32,1383,57,985,41,1730,71,689,28,1616,67,348,14,1309,54,675,28,1074,44,588,24,1534,63,880,36,1144,47,978,40,1443,59,716,29,1479,61,614,25,1504,62,576,24,1258,52,1112,46
"AK","Alaska","Aleutians West Census Area, Alaska",2016,4032,1723,43,963,24,1916,48,2164,54,2530,63,1562,39,2002,50,1985,49,2771,69,1275,32,2434,60,735,18,1798,45,1418,35,1494,37,1194,30,2168,54,1852,46,1572,39,1919,48,2061,51,1502,37,2097,52,1354,34,2278,56,1209,30,1785,44,2162,54
"AK","Alaska","Anchorage Municipality, Alaska",2020,183298,74141,40,54374,30,111447,61,71738,39,131645,72,51664,28,108222,59,72736,40,141736,77,42283,23,120501,66,34418,19,91323,50,62245,34,74645,41,66161,36,95151,52,87864,48,64140,35,101644,55,92808,51,74977,41,97707,53,66577,36,108137,59,52877,29,78686,43,104278,57
"AK","Alaska","Bethel Census Area, Alaska",2050,8911,3949,44,2086,23,5251,59,3697,41,6096,68,2880,32,4847,54,3916,44,6569,74,2336,26,5888,66,1422,16,4503,51,2786,31,3628,41,2664,30,5185,58,3714,42,3690,41,4252,48,4965,56,3118,35,5110,57,2696,30,5438,61,2354,26,4263,48,4548,51
"AK","Alaska","Bristol Bay Borough, Alaska",2060,621,241,39,163,26,236,38,398,64,376,61,262,42,297,48,324,52,416,67,216,35,345,56,142,23,248,40,238,38,209,34,210,34,309,50,310,50,221,36,322,52,295,47,264,43,299,48,247,40,341,55,213,34,254,41,351,57
"AK","Alaska","Denali Borough, Alaska",2068,1382,590,43,382,28,787,57,615,44,940,68,461,33,760,55,619,45,1037,75,341,25,860,62,274,20,636,46,491,36,577,42,471,34,716,52,666,48,457,33,786,57,662,48,596,43,697,50,526,38,796,58,430,31,581,42,786,57
"AK","Alaska","Dillingham Census Area, Alaska",2070,2683,1167,43,624,23,1311,49,1407,52,1707,64,1021,38,1343,50,1321,49,1887,70,820,31,1662,62,490,18,1208,45,930,35,997,37,841,31,1460,54,1219,45,1050,39,1320,49,1400,52,1026,38,1433,53,918,34,1566,58,805,30,1202,45,1434,53
"AK","Alaska","Fairbanks North Star Borough, Alaska",2090,59076,24451,41,16794,28,33630,57,25774,44,40741,69,18853,32,33065,56,25703,44,44392,75,14820,25,35501,60,13222,22,27208,46,21600,37,23199,39,21617,37,29533,50,29478,50,19549,33,33669,57,28422,48,25407,43,29715,50,23112,39,33693,57,18842,32,24251,41,34495,58
"AK","Alaska","Haines Borough, Alaska",2100,1833,822,45,479,26,983,54,880,48,1195,65,670,37,954,52,887,48,1357,74,483,26,1117,61,383,21,792,43,695,38,724,40,660,36,896,49,938,51,578,32,1082,59,842,46,839,46,890,49,748,41,1033,56,610,33,732,40,1083,59
"AK","Alaska","Hoonah-Angoon Census Area, Alaska",2105,1631,0,45,0,24,0,65,0,34,0,75,0,23,0,62,0,37,0,77,0,21,0,64,0,17,0,49,0,34,0,42,0,32,0,54,0,46,0,36,0,53,0,52,0,36,0,54,0,33,0,63,0,24,0,43,0,56
"AK","Alaska","Juneau City and Borough, Alaska",2110,21358,8671,41,6758,32,13819,65,7718,36,15562,73,5849,27,13183,62,7963,37,16846,79,4383,21,14152,66,3739,18,10907,51,6982,33,10130,47,7005,33,12303,58,9010,42,8066,38,11601,54,11527,54,8210,38,12265,57,6932,32,13356,63,5569,26,9853,46,11382,53
